name,publisher,platforms,num_platforms,year_released,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
Black Sigil: Blade of the Exiled,Graffiti,"[""DS""]",1,2009,Role-Playing,0.05,0,0,0,0.05,58,24,7.5,20,Studio Archcraft,E
Blacksite: Area 51,Midway Games,"[""PS3"", ""X360""]",2,2007,Shooter,0.36,0.23,0,0.06999999999999999,0.6499999999999999,59,71,6.199999999999999,83,Midway Studios - Austin,T
Blackthorne,Activision,"[""GBA""]",1,2003,Action,0.01,0,0,0,0.01,67,10,7.6,5,Mass Media,T
Blackwater,505 Games,"[""X360""]",1,2011,Shooter,0.09,0.02,0,0.01,0.12,37,12,4.5,14,Zombie Studios,T
Blade Dancer: Lineage of Light,Atari,"[""PSP""]",1,2006,Role-Playing,0.05,0,0,0,0.06,60,33,6.9,16,Hit Maker,E10+
Blade II,Activision,"[""PS2"", ""XB""]",2,2002,Action,0.25,0.15,0,0.04,0.44,51,41,5.05,18,Mucky Foot Productions,M
Blades of Time,Konami Digital Entertainment,"[""X360"", ""PS3""]",2,2012,Action,0.11000000000000001,0.05,0.01,0.02,0.2,52.5,42,6.85,52,Gaijin Entertainment,M
Bladestorm: Nightmare,Tecmo Koei,"[""PS4"", ""XOne""]",2,2015,Action,0.11,0.06,0.03,0.02,0.22000000000000003,53,39,6.8,29,Omega Force,T
Bladestorm: The Hundred Years' War,Tecmo Koei,"[""X360"", ""PS3""]",2,2007,Action,0.18,0.04,0.14,0.03,0.37,60.5,49,7.35,44,Omega Force,T
"Blast Works: Build, Trade, Destroy",Eidos Interactive,"[""Wii""]",1,2008,Shooter,0.09,0,0,0.01,0.1,78,30,7.7,17,BudCat,E
BlazBlue: Calamity Trigger,PQube,"[""PS3"", ""X360""]",2,2009,Fighting,0.57,0.18,0.1,0.09,0.9299999999999999,86.5,101,8.45,182,Arc System Works,T
BlazBlue: Calamity Trigger Portable,PQube,"[""PSP""]",1,2010,Fighting,0.07,0.01,0.03,0.01,0.11,82,14,7.8,18,Arc System Works,T
